"Product - Natural Gas"

,TIME,"Jan2009","Feb2009","Mar2009","Apr2009","May2009","Jun2009","Jul2009","Aug2009","Sep2009","Oct2009","Nov2009","Dec2009","Jan2010","Feb2010","Mar2010","Apr2010","May2010","Jun2010","Jul2010","Aug2010","Sep2010","Oct2010","Nov2010","Dec2010","Jan2011","Feb2011","Mar2011","Apr2011","May2011","Jun2011","Jul2011","Aug2011","Sep2011","Oct2011","Nov2011","Dec2011","Jan2012","Feb2012","Mar2012","Apr2012","May2012","Jun2012","Jul2012","Aug2012","Sep2012","Oct2012","Nov2012","Dec2012","Jan2013","Feb2013","Mar2013","Apr2013","May2013","Jun2013","Jul2013","Aug2013","Sep2013","Oct2013","Nov2013","Dec2013","Jan2014","Feb2014","Mar2014","Apr2014","May2014","Jun2014","Jul2014","Aug2014","Sep2014","Oct2014","Nov2014","Dec2014","Jan2015","Feb2015","Mar2015","Apr2015","May2015","Jun2015","Jul2015","Aug2015","Sep2015","Oct2015","Nov2015","Dec2015","Jan2016","Feb2016","Mar2016","Apr2016","May2016","Jun2016","Jul2016","Aug2016","Sep2016","Oct2016","Nov2016","Dec2016","Jan2017","Feb2017","Mar2017","Apr2017","May2017","Jun2017","Jul2017","Aug2017","Sep2017","Oct2017","Nov2017","Dec2017","Jan2018","Feb2018","Mar2018","Apr2018","May2018","Jun2018","Jul2018","Aug2018","Sep2018","Oct2018","Nov2018","Dec2018","Jan2019","Feb2019","Mar2019","Apr2019","May2019","Jun2019","Jul2019","Aug2019","Sep2019","Oct2019","Nov2019","Dec2019","Jan2020","Feb2020","Mar2020","Apr2020","May2020","Jun2020","Jul2020","Aug2020","Sep2020","Oct2020","Nov2020","Dec2020","Jan2021","Feb2021","Mar2021","Apr2021","May2021","Jun2021","Jul2021","Aug2021","Sep2021","Oct2021","Nov2021","Dec2021","Jan2022","Feb2022","Mar2022","Apr2022","May2022","Jun2022","Jul2022","Aug2022","Sep2022","Oct2022","Nov2022","Dec2022","Jan2023","Feb2023","Mar2023","Apr2023","May2023","Jun2023","Jul2023","Aug2023","Sep2023","Oct2023","Nov2023","Dec2023","Jan2024","Feb2024","Mar2024","Apr2024","May2024","Jun2024","Jul2024","Aug2024","Sep2024","Oct2024","Nov2024","Dec2024","Jan2025","Feb2025","Mar2025"
,Unit,"Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules","Terajoules"
"Country","BALANCE",
"Argentina"," Receipts from Other Sources","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Argentina","Imports",4633,6116,5649,5695,5188,5380,6337,5952,5881,3497,2483,2068,2711,3877,5589,4389,5947,5355,6566,5485,5026,5469,5033,6276,6469,6915,7861,7026,7944,7436,8222,7710,7674,8364,8436,10824,10819,9644,9000,8456,12228,14228,15088,16919,15851,14842,15197,15122,13414,15484,16499,12653,15422,16689,17500,17567,16587,17859,14262,15674,18836,17146,15891,16369,18038,17718,17659,15789,15784,16176,14706,15561,15693,15762,17723,17139,17668,16469,16984,16852,16402,16714,16984,14763,15448,14025,15327,14885,"-","-",45151,40283,36682,26827,26827,18578,19326,20228,19614,28537,47198,49467,53279,47413,39532,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Argentina","   LNG",4818,6361,5875,5924,5396,5596,6591,6191,6117,3637,2582,2151,2820,4033,5814,4565,6185,5569,6829,5705,5228,5688,5235,6528,6729,7193,8176,7308,8263,7735,8552,8019,7982,8700,8775,11258,11253,10031,9361,8795,12719,14799,15693,17598,16487,15437,15806,15729,13952,16105,17161,13161,16041,17359,18202,18272,17252,18575,14834,16303,19592,17834,16529,17026,18762,18429,18368,16422,16417,16825,15296,16186,16322,16394,18434,17827,18377,17130,17666,17528,17060,17385,17666,15355,16068,14588,15942,15483,23393,23393,"-","-","-","-","-","-","-",2,12,18,17,18,20,17,13,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Argentina","   Pipeline",-186,-245,-227,-228,-208,-216,-254,-239,-236,-140,-100,-83,-109,-156,-224,-176,-239,-215,-263,-220,-202,-219,-202,-252,-260,-277,-315,-282,-319,-298,-330,-309,-308,-336,-338,-434,-434,-387,-361,-339,-491,-571,-605,-679,-636,-595,-610,-607,-538,-621,-662,-508,-619,-670,-702,-705,-665,-716,-572,-629,-756,-688,-638,-657,-724,-711,-709,-634,-633,-649,-590,-624,-630,-633,-711,-688,-709,-661,-682,-676,-658,-671,-682,-592,-620,-563,-615,-597,"-","-",45151,40283,36682,26827,26827,18578,19326,20226,19602,28519,47181,49449,53258,47397,39519,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Argentina","   LNG",5081,5113,5111,1916,2058,958,1228,1402,936,2594,2511,3576,2646,1414,3335,2027,1190,917,679,683,588,784,1345,1224,1154,986,1018,684,445,418,454,552,484,544,287,208,152,211,287,370,423,416,469,432,359,346,213,187,162,126,146,213,349,384,398,428,299,239,156,123,104,112,152,114,316,308,281,259,234,136,130,107,89,94,453,1173,318,323,260,113,227,209,56,50,80,24,91,106,309,316,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Australia"," Receipts from Other Sources","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"Australia","Imports","-","-","-","-","-","-","-","-","-","-","-","-",21965,16442,22134,25170,12353,8095,24242,24706,25465,24031,23736,24200,24706,24031,20869,22112,20726,24476,15544,17966,18192,16803,12558,16548,20295,21505,20825,23160,21438,0,11620,25421,23644,22261,22922,21709,22478,22803,20756,21450,22902,24458,24292,24840,25127,22059,20092,21385,24186,24410,23272,23904,25380,25970,26265,24410,21965,0,21079,23989,25801,25886,22555,25211,24916,26771,26223,23609,26729,25043,26097,28036,25675,26434,24537,23272,24790,26560,25928,26476,26982,14039,23187,23904,25169,24494,22218,24326,19125,20551,24771,22154,19454,14432,22619,22197,25446,25615,23167,25151,24813,0,16880,25784,25404,22787,25235,23800,22998,25024,23041,24771,15487,19369,14474,18610,24391,25024,13757,16626,20678,23885,21310,24475,23716,24475,23716,24518,24475,23716,24518,23716,24518,24602,21986,24349,22408,15614,21184,21057,22914,18061,19454,19960,19580,16837,15107,11309,10170,8060,6921,5148,7469,8229,7638,4431,4557,4093,2785,5612,4937,4768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"Australia","   LNG","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
